asin	val	productGroup	brand
B005DMZKZA	57.98	Speakers	Supersonic
B005E2XLNM	6.92	Speakers	Monoprice
B005E2YFT6	45.27	Speakers	Monoprice
B005E8MV14	406.755833333333	Speakers	beyerdynamic
B005E8MVV4	44.78	Speakers	Creative
B005ELS6HE	14.98	Speakers	V7
B005EQS9HG	68	Speakers	Sony
B005EQSB2E	89.99	Speakers	Sony
B005F5II1I	44.4	Speakers	C.Crane
B005FMBVLA	91.99	Speakers	JBL
B005FO2D92	43.25	Speakers	House of Marley
B005FSPI18	75	Speakers	Jensen
B005FU5JBK	106.61	Speakers	Pyle
B005FVNGS2	53.55	Speakers	SanDisk
B005G6ED2E	60.05	Speakers	iLuv
B005GNWH70	179	Speakers	Boston Acoustics
B005GQ6D2C	99.99	Speakers	Theater Solutions
B005GSVN48	179.99	Speakers	Bowers & Wilkins
B005HMBQR2	199.99	Speakers	V-MODA
B005HSDLCO	149.99	Speakers	V-MODA
B005HTQAK8	14.52	Speakers	Rosewill
B005HXFARS	22.21	Speakers	Orei
B005I2IVB0	44.49	Speakers	Yurbuds
B005I572LC	63.39	Speakers	Sewell Development Corp. dba Sewell Direct
B005IIRAC0	192.82	Speakers	Pyle
B005IVYZKC	101.81	Speakers	Speakal
B005IVYZMU	103	Speakers	Speakal
B005J7YEW4	202.99	Speakers	Pyle
B005J8D09G	7.47	Speakers	Neewer
B005JK5O3O	6.49	Speakers	Orei
B005JW6WQU	399.99	Speakers	Jaybird
B005JXH1OG	50.71	Speakers	Polk Audio
B005K22JSO	14.99	Speakers	Pyle
B005LAIEN4	208.31	Speakers	Monster Power, LLC
B005LAIFE2	307.13	Speakers	Monster
B005N8W1MO	46	Speakers	Sennheiser
B005N8W214	97.45	Speakers	Sennheiser
B005OA3BSY	399	Speakers	Audioengine
B005OLOIUI	72	Speakers	SOL REPUBLIC
B005OMSUOC	23.84	Speakers	Naxa
B005OU71GW	157.02	Speakers	Imagination Technologies Ltd
B005OYR9D8	47.3	Speakers	Philips
B005Q311QI	39.4	Speakers	Incipio
B005QUQPYY	359	Speakers	Marantz
B005SNPTRS	53.99	Speakers	Sennheiser
B005SUXGY4	39.03	Speakers	House of Marley
B005TOQBFK	13.625	Speakers	Supersonic
B005TOV0ME	65.99	Speakers	Etymotic Research
B005VEZ54Q	28.68	Speakers	JLAB
B005VEZ550	19.85	Speakers	JLAB
B005W0UV2K	109.22	Speakers	Crosley
B005W1D6ZS	89	Speakers	Grado
B005WSCPTO	41.76	Speakers	HomeWorx
B005XPFYBM	76.345	Speakers	Creative
B005XQU5CO	20.65	Speakers	Sakar
B005YR0X4W	64.99	Speakers	Creative
B005YXXS4I	249.94	Speakers	Yamaha
B005YXXTDS	276.525	Speakers	Yamaha Audio
B005ZC4MM0	349.95	Speakers	Yamaha Audio
B00604YSNU	153.32	Speakers	Pyle
B0062IMDBI	46.99	Speakers	Pyle
B0062IMDDG	53.99	Speakers	Pyle
B0062IMDE0	58.38	Speakers	Pyle
B0062IMENK	241.33	Speakers	Pyle
B0062IMERQ	79.28	Speakers	Pyle
B00631YX62	199.99	Speakers	Polk Audio
B00633U7CO	23	Speakers	Supersonic
B00647H30S	251.88	Speakers	Teac
B0064XTQ98	48.49	Speakers	Philips
B00684H6ZY	56.84	Speakers	Monster
B006B2K1GE	72.87	Speakers	Monster
B006BUVP5M	269.335	Speakers	Teac
B006K3CM4S	47.12	Speakers	Wiremold
B006MA9XXM	109.5	Speakers	BRAINWAVZ
B006NRXWQI	14.12	Speakers	Travel Smart
B006O70ZR6	199.99	Speakers	ZVOX
B006O711RE	160.59	Speakers	AXELECT
B006O711V0	170.65	Speakers	ebasy
B006QR8W6K	47.6133333333333	Speakers	Koss
B006RG232O	127.79	Speakers	Pyle
B006RG23I8	132.4	Speakers	Pyle
B006RG23JC	106.25	Speakers	Grace Digital
B006RUIWC0	150.92	Speakers	Philips
B006SUWZH2	29.9	Speakers	Memorex
B006T9ZKAQ	2.93	Speakers	Koss
B006U1VH2S	135.405	Speakers	Sony
B006U8CZNQ	18.44	Speakers	XO Vision
B006VJQ2OM	62.04	Speakers	Monster
B006WHPQCM	35.38	Speakers	Philips
B006XA7J3C	41.15	Speakers	eKids
B00703BI1A	11.14	Speakers	iLuv
B00703BOV4	93.55	Speakers	iLuv
B007136B84	54.83	Speakers	Skullcandy
B007136DNW	15.15	Speakers	Skullcandy
B007136E1S	12.99	Speakers	Skullcandy
B007136EBI	20.99	Speakers	Skullcandy
B0071BANRG	73.85	Speakers	Jensen
B0071I3MUY	77.51	Speakers	Pyle
B0071I3RWM	199.86	Speakers	Pyle
B0071MSYEE	149.99	Speakers	Polk Audio
B0071VO3GI	113.2	Speakers	Pyle
B00721Z1AE	21.32	Speakers	Lepai
B0072LEKMO	58.1	Speakers	MGM
B0073GLD2I	109.99	Receiver or Amplifier	Topping
B0073VC9YY	17.8	Speakers	GPX
B0073XY5LC	24.95	Speakers	NuForce
B00740BERM	80.23	Speakers	iLive
B0074V0A1C	399	Speakers	Klipsch
B0076NDV0U	287.51	Speakers	Sennheiser
B0077PNA1W	30.11	Speakers	Pyle
B0077V88V8	399	Speakers	Onkyo
B0079LE43W	17.26	Speakers	JVC
B0079MSP0O	65.39	Speakers	AT&T
B007B5QQ96	20.56	Speakers	RCA
B007B5QVKA	19.99	Speakers	GPX
B007B5QVTG	24.99	Speakers	GPX
B007B5TOZY	44.99	Speakers	Philips
B007B5TPEY	79.99	Speakers	Philips
B007B5WHTE	99.99	Speakers	Philips
B007B61GAO	31.8466666666667	Speakers	Sound Design
B007BGGDXY	20.06	Speakers	Coby
B007CU56X2	23.56	Speakers	iFrogz
B007EQI9X8	28.6	Speakers	Yurbuds
B007FETOK6	107.22	Speakers	iSound
B007FI6ITM	69.99	Speakers	Supersonic
B007FI9AWO	49.98	Speakers	Supersonic
B007FQNK8G	44.08	Speakers	Naxa
B007FQNL08	25.63	Speakers	Naxa Electronics
B007FSZKBY	77.22	Speakers	Toshiba
B007H1ZCB2	93.4	Speakers	Acoustic Research
B007H3L24Q	56.46	Speakers	Eton
B007H4JW7Y	42.58	Speakers	Koss
B007HISSXE	14.99	Speakers	JVC
B007HSOAYU	53.455	Speakers	Eton
B007IIRHE4	167.71	Speakers	JBL
B007IPZDNO	21.54	Speakers	Supersonic
B007JCMDA2	79.45	Speakers	Acoustic Research
B007JG54DG	195.4	Speakers	Sennheiser
B007K3SB6K	301.4	Speakers	Sennheiser
B007K5H4Z2	128	Speakers	Sony
B007KFEOJ6	28.86	Speakers	Axion
B007KFEOZK	65.55	Speakers	Sony
B007KFLVTM	54.99	Speakers	Eton
B007KFLVW4	43.51	Speakers	Eton
B007KWLF5K	163.758333333333	Speakers	Audio-Technica
B007PU5526	28.36	Speakers	Naxa Electronics
B007PYG5GM	168.99	Speakers	Sherwood
B007R3Y2V6	43.99	Speakers	Coby
B007R6HUBM	30.11	Speakers	Jam
B007S71O2G	43.49	Speakers	Craig Electronics
B007T9BY5U	168.855	Speakers	Monster
B007XOQI4S	54	Speakers	Soundfreaq
B007Y6KR0Q	59.99	Speakers	Sangean
B0080SIJD4	22.94	Speakers	Ceptics
B0081IKTN6	20.15	Speakers	Sony
B00826L4G8	242.98	Speakers	Cowon
B0082E9K7U	17.63	Speakers	XBOOM
B0083ZGEBI	51.12	Speakers	iLive
B00845RYP2	210.745	Speakers	Monoprice
B0084OIY0M	7.98	Speakers	Ceptics
B00852TZ56	1085.9	Speakers	Pioneer
B00856XG66	240	Speakers	Elite Screens
B00858I4JI	99	Speakers	Denon
B0085H18W4	120.05	Speakers	Sangean
B008658FRG	159.06	Speakers	RCA
B00865V3N4	63.41	Speakers	Naxa Electronics
B00868HUEW	65.8	Speakers	Naxa Electronics
B0088LEVI0	29.99	Speakers	Memorex
B00890YNBK	507.8	Speakers	beyerdynamic
B008DCOVUC	17.75	Speakers	Neewer
B008EQ1ZGA	245.66	Speakers	Beats
B008ET9VY0	49.95	Speakers	RHA
B008JCVGT0	8.99	Speakers	Orei
B008KP4MQU	65.565	Speakers	RCA
B008O37FOE	149	Speakers	eBright
B008P8EJ1K	134.03	Speakers	Crosley
B008P8ELDQ	119.99	Speakers	Crosley
B008PEXMNK	75.87	Speakers	Klipsch
B008RQEEBU	47.93	Speakers	Sound Around
B008VMT2HQ	99	Speakers	TDK Life on Record
B008X1C65A	38.7	Speakers	Memorex
B008YUNK46	299	Speakers	Bose
B0090IA4KE	857	Speakers	Atlantic Technology
B0090JEB34	16.02	Speakers	Craig Electronics
