asin	1	2	3	4	5
3424215	0	0	0	1	3
8776285	1	0	0	1	0
9861550	0	0	1	0	0
8183266	0	0	0	1	0
5296238	0	0	1	2	2
7659845	0	0	0	2	1
5338893	3	0	9	15	32
5479062	7	2	4	10	9
2598492	0	0	0	0	1
7221878	0	1	0	1	0
9502647	1	0	1	1	1
4183977	7	3	9	44	98
6681210	0	0	1	2	3
3221946	1	0	0	0	0
8441712	5	2	3	22	31
4755043	8	2	5	9	28
4305783	3	1	1	1	8
6364050	37	10	14	68	119
3744975	0	0	1	5	39
1757896	0	0	0	1	3
4976739	5	0	5	16	45
6765087	3	3	3	6	56
1216357	6	2	0	5	1
3129419	0	1	0	0	0
5796489	4	3	2	5	20
2427202	1	0	0	2	4
4273381	0	0	0	0	2
9828990	0	0	0	0	1
6874425	2	1	3	15	16
1627749	1	1	2	4	9
9445467	0	1	2	2	9
3867271	0	1	5	10	10
5068763	3	2	4	8	5
7631970	6	2	2	20	28
4967130	1	3	3	2	4
3404959	1	0	2	5	2
3861870	1	0	1	0	0
3715551	4	2	2	4	6
9852710	1	2	3	0	3
8210321	6	2	5	39	70
7447308	5	1	5	24	54
5294110	10	9	14	39	66
9769361	0	0	2	2	10
9347336	0	0	1	2	2
1222325	2	0	4	28	122
3041799	46	9	23	53	65
2791233	27	15	16	31	34
7413534	5	4	7	60	129
7923417	8	3	9	49	136
7554454	12	2	4	32	84
8535120	8	5	9	14	5
4162478	12	5	11	24	28
4133128	11	1	22	37	33
9553726	3	3	5	29	65
4621907	27	8	20	53	50
9814600	4	3	3	14	17
7687707	0	1	0	0	1
8700574	1	0	3	9	40
5824472	1	0	0	0	1
3729884	1	0	3	17	77
3284814	0	0	0	3	0
8378491	0	0	0	8	28
5115680	1	0	0	1	0
4949540	2	2	2	3	3
8610854	0	0	0	1	1
2689497	4	1	2	7	30
4126218	0	0	0	0	1
8673491	0	1	1	12	8
6492906	0	0	0	1	0
3830422	2	2	0	0	4
8213543	0	0	0	0	1
8384380	4	0	0	0	1
2888368	12	1	1	6	25
1944461	1	0	0	0	0
5960867	4	7	4	18	51
2029428	0	0	0	1	0
3764800	0	0	1	4	4
8600405	0	0	0	0	2
7234949	0	0	0	1	1
9429189	11	5	10	35	33
1582591	0	0	2	2	19
1247022	2	2	4	4	3
2217966	0	0	0	0	3
6206579	0	0	1	0	0
